INDEX,product_id,warehouse_id,Source_index,Sink_index,_merge
0,190,9,0,0.0,both
1,191,9,1,1.0,both
2,193,9,2,2.0,both
3,195,9,3,3.0,both
4,196,9,4,4.0,both
5,198,9,5,5.0,both
6,199,9,6,6.0,both
7,200,9,7,7.0,both
8,201,9,8,8.0,both
9,203,9,9,9.0,both
10,204,9,10,10.0,both
11,205,9,11,11.0,both
12,207,9,12,12.0,both
13,210,9,13,13.0,both
14,211,9,14,14.0,both
15,212,9,15,15.0,both
16,214,9,16,16.0,both
17,216,9,17,17.0,both
18,217,9,18,18.0,both
19,218,9,19,19.0,both
20,220,9,20,20.0,both
21,221,9,21,21.0,both
22,222,9,22,22.0,both
23,223,9,23,23.0,both
24,241,9,24,24.0,both
25,242,9,25,25.0,both
26,243,9,26,26.0,both
27,245,9,27,27.0,both
28,269,9,28,28.0,both
29,270,9,29,29.0,both
30,271,9,30,30.0,both
31,272,9,31,31.0,both
32,274,9,32,32.0,both
33,276,9,33,33.0,both
34,277,9,34,34.0,both
35,278,9,35,35.0,both
36,281,9,36,36.0,both
37,283,9,37,37.0,both
38,3,1,38,38.0,both
39,4,1,39,39.0,both
40,5,1,40,40.0,both
41,6,1,41,41.0,both
42,11,1,42,42.0,both
43,12,1,43,43.0,both
44,80,1,44,44.0,both
45,87,1,45,45.0,both
46,88,1,46,46.0,both
47,89,1,47,47.0,both
48,90,1,48,48.0,both
49,103,1,49,49.0,both

